movie_id,main_movie_id
tt0116514,tt0116514
tt0069811,tt0069811
tt0328157,tt0325849
tt0098672,tt0098672
tt0304140,tt0304140
tt0097937,tt0097937
tt0116723,tt0116723
tt0064253,tt0064253
tt0218864,tt0218864
tt0340883,tt0340883
tt0072342,tt0072342
tt0312318,tt0312318
tt0110763,tt0110763
tt0107232,tt0107232
tt0276203,tt0276203
tt0042061,tt0042061
tt0077904,tt0077904
tt0095252,tt0095252
tt0896522,tt0896522
tt0093602,tt0093602
tt0033606,tt0033606
tt0076716,tt0076716
tt0400439,tt0400439
tt0048261,tt0048261
tt0069595,tt0069595
tt0878652,tt0878652
tt0457513,tt0457513
tt0089308,tt0089308
tt0269266,tt0269266
tt0138910,tt0138910
tt0110273,tt0110273
tt0029626,tt0029626
tt0102187,tt0102187
tt0085688,tt0085688
tt0324919,tt0324919
tt0076698,tt0076698
tt0066732,tt0066732
tt0800011,tt0800011
tt0430768,tt0430768
tt0019465,tt0019465
tt0102109,tt0102109
tt0111104,tt0111104
tt0087998,tt0087998
tt0120948,tt0120948
tt0074920,tt0074920
tt0044502,tt0044502
tt0166370,tt0166370
tt0939681,tt0939681
tt0910970,tt0910970
tt0140600,tt0140600
tt0310249,tt0231752
tt0142906,tt0142906
tt0795371,tt0795371
tt0115650,tt0115650
tt0053114,tt0053114
tt0251806,tt0251806
tt0913425,tt0913425
tt0077756,tt0077756
tt0113922,tt0113922
tt0032007,tt0032007
tt0075132,tt0075132
tt0034753,tt0034753
tt0212889,tt0212889
tt0096417,tt0096417
tt0096657,tt0096657
tt0086141,tt0086141
tt0039545,tt0039545
tt0405866,tt0405866
tt0139082,tt0139082
tt0050432,tt0050432
tt0085311,tt0085311
tt0029929,tt0029929
tt0439463,tt0439463
tt0086981,tt0086981
tt0453549,tt0453549
tt0070795,tt0070795
tt0122655,tt0122655
tt0080140,tt0080140
tt0023523,tt0023523
tt0452692,tt0452692
tt0063303,tt0063303
tt0023990,tt0023990
tt0389326,tt0389326
tt0049964,tt0049964
tt0343594,tt0343594
tt0117924,tt0117924
tt0064643,tt0064643
tt0040109,tt0040109
tt0101099,tt0101099
tt0283957,tt0283957
tt0385013,tt0385013
tt0109905,tt0109905
tt0379270,tt0379270
tt0118480,tt0118480
tt0117220,tt0117220
tt0100100,tt0100100
tt0068414,tt0068414
tt0064886,tt0064886
tt0196026,tt0196026
tt0080499,tt0080499
tt0097497,tt0097497
tt0974593,tt0974593
tt0047189,tt0047189
tt0037929,tt0037929
tt0046161,tt0046161
tt0111970,tt0111970
tt0270291,tt0270291
tt0458367,tt0458367
tt0104994,tt0104994
tt0039062,tt0039062
tt0084096,tt0084096
tt0109494,tt0109494
tt0377543,tt0377543
tt0246002,tt0246002
tt0067839,tt0067839
tt0050265,tt0050265
tt0404325,tt0404325
tt0120478,tt0120478
tt0471127,tt0471127
tt0980994,tt0972374
tt0202812,tt0202812
tt0081314,tt0081314
tt0127931,tt0059558
tt0337791,tt0337791
tt0823333,tt0823333
tt0048983,tt0048983
tt0367817,tt0367817
tt0758024,tt0758024
tt0370053,tt0370053
tt0325214,tt0325214
tt0095846,tt0095846
tt0065685,tt0065685
tt0042286,tt0042286
tt0118570,tt0118570
tt0480011,tt0480011
tt0245182,tt0245182
tt0092099,tt0092099
tt0800318,tt0800318
tt0229694,tt0229694
tt0098897,tt0098897
tt0037077,tt0037077
tt0085178,tt0085178
tt0034416,tt0034416
tt0071278,tt0071278
tt0084445,tt0084445
tt0105592,tt0105592
tt0248752,tt0248752
tt0064940,tt0064940
tt0043408,tt0043408
tt0361856,tt0361856
tt0286751,tt0286751
tt0094642,tt0094642
tt0047954,tt0047954
tt0300727,tt0300727
tt0297071,tt0297071
tt0025254,tt0025254
tt0406501,tt0406501
tt0481369,tt0481369
tt0918715,tt0918715
tt0378879,tt0378879
tt0094997,tt0094997
tt0039497,tt0039497
tt0066670,tt0066670
tt0071844,tt0071844
tt0181850,tt0181850
tt0069964,tt0069057
tt0406943,tt0406943
tt0080945,tt0080945
tt0103894,tt0103894
tt0031359,tt0031359
tt0424738,tt0424738
tt0241383,tt0241383
tt0102467,tt0102467
tt0407121,tt0407121
tt0079937,tt0079937
tt0077751,tt0077751
tt0105789,tt0105789
tt0470132,tt0470132
tt0074706,tt0074706
tt0096969,tt0096969
tt0223119,tt0118939
tt0063634,tt0063634
tt0276964,tt0073000
tt0481390,tt0481390
tt0110793,tt0110793
tt0102213,tt0102213
tt0762115,tt0762115
tt0212879,tt0212879
tt0450506,tt0450506
tt0192644,tt0192644
tt0389121,tt0389121
tt0082031,tt0082031
tt0379593,tt0379593
tt0095662,tt0095662
tt0238251,tt0238251
tt0131542,tt0131542
tt0366894,tt0366894
tt0361805,tt0361805
tt0052998,tt0052998
tt0113195,tt0113195
tt0475277,tt0475277
tt0259460,tt0259460
tt0118836,tt0118836
tt0067183,tt0067183
tt0104753,tt0104753
tt0017268,tt0017268
tt0332658,tt0332658
tt0048977,tt0048977
tt0334541,tt0334541
tt0247804,tt0133152
tt0460800,tt0460800
tt0067451,tt0067451
tt0031491,tt0031491
tt0318081,tt0318081
tt0038733,tt0038733
tt0108288,tt0107212
tt0176097,tt0176097
tt0462465,tt0462465
tt0117768,tt0117768
tt0045265,tt0045265
tt0043511,tt0043511
tt0098507,tt0098507
tt0035183,tt0035183
tt0106963,tt0106963
tt0144622,tt0144622
tt0108156,tt0108156
tt0272046,tt0272046
tt0093200,tt0093200
tt0164877,tt0164877
tt0068880,tt0068850
tt0242437,tt0238205
tt0116334,tt0116334
tt0347779,tt0347779
tt0109000,tt0109000
tt0089547,tt0089547
tt0049656,tt0049656
tt0244504,tt0244504
tt0462197,tt0462197
tt0127512,tt0127512
tt0805619,tt0805619
tt0402910,tt0402910
tt0115669,tt0115669
tt0238992,tt0238992
tt0025492,tt0025492
tt0162973,tt0162973
tt0066580,tt0066580
tt0091159,tt0091159
tt0036699,tt0036699
tt0330489,tt0330489
tt0072785,tt0072785
tt0073703,tt0073703
tt0305476,tt0305476
tt0127723,tt0127723
tt0090190,tt0090190
tt0111896,tt0111896
tt0034236,tt0034236
tt0285528,tt0281905
tt0086967,tt0086967
tt0039504,tt0039504
tt0437152,tt0437152
tt0111383,tt0111383
tt0029145,tt0029145
tt0932936,tt0932936
tt0065738,tt0065738
tt0384036,tt0384036
tt0120094,tt0120094
tt0250744,tt0250744
tt0093351,tt0093351
tt0441041,tt0441041
tt0337717,tt0337717
tt0100280,tt0100280
tt0827181,tt0827181
tt0301359,tt0301359
tt0088461,tt0088461
tt0138322,tt0138322
tt0037120,tt0037120
tt0133356,tt0133356
tt0575495,tt0087059
tt0032779,tt0032779
tt0094059,tt0094059
tt0126838,tt0126838
tt0077621,tt0077621
tt0086026,tt0086026
tt0454824,tt0454824
tt0088176,tt0088176
tt0821642,tt0821642
tt0252480,tt0252480
tt0109287,tt0109287
tt0112702,tt0112702
tt0486673,tt0486673
tt0033672,tt0033672
tt0395561,tt0395561
tt0262682,tt0262682
tt0077269,tt0077269
tt0455962,tt0455962
tt0069724,tt0068920
tt0760167,tt0760167
tt0236126,tt0236126
tt0082956,tt0082956
tt0979731,tt0942764
tt0028108,tt0028108
tt0959376,tt0959376
tt0267817,tt0267817
tt0030811,tt0030811
tt0142074,tt0142074
tt0207631,tt0207631
tt0472832,tt0472832
tt0090093,tt0090093
tt0288886,tt0288886
tt0042784,tt0042784
tt0116607,tt0116607
tt0052792,tt0052792
tt0115571,tt0115571
tt0123816,tt0123816
tt0473709,tt0473709
tt0065854,tt0065854
tt0034224,tt0034224
tt0069536,tt0069536
tt0043880,tt0043880
tt0038333,tt0038333
tt0083798,tt0083798
tt0062369,tt0062369
tt0304328,tt0304328
tt0369905,tt0369905
tt0791150,tt0791150
tt0112668,tt0112668
tt0041134,tt0041134
tt0472047,tt0472047
tt0470833,tt0470833
tt0464799,tt0464799
tt0424600,tt0424600
tt0089413,tt0089413
tt0084489,tt0084489
tt0039031,tt0039031
tt0220238,tt0220238
tt0494834,tt0494834
tt0105297,tt0105297
tt0835204,tt0833098
tt0286669,tt0286669
tt0232965,tt0165546
tt0193167,tt0193167
tt0331509,tt0331509
tt0414322,tt0414322
tt0082764,tt0082764
tt0109688,tt0109688
tt0137338,tt0137338
tt0025569,tt0025569
tt0307197,tt0307197
tt0046980,tt0046980
tt0076877,tt0076877
tt0415321,tt0415321
tt0040367,tt0040367
tt0208988,tt0208988
tt0759097,tt0759097
tt0436392,tt0436392
tt0495103,tt0495103
tt0098741,tt0098741
tt0114864,tt0114864
tt0196102,tt0196102
tt0098350,tt0098350
tt0248867,tt0248867
tt0112800,tt0112800
tt0090329,tt0090329
tt0183056,tt0183056
tt0112782,tt0112782
tt0708433,tt0708433
tt0118030,tt0118030
tt0071890,tt0071890
tt0112471,tt0112471
tt0156735,tt0156735
tt0049922,tt0049922
tt0476614,tt0476614
tt0244491,tt0244491
tt0074483,tt0074483
tt0101702,tt0101702
tt0083805,tt0083805
tt0043526,tt0043526
tt0262981,tt0262981
tt0070538,tt0070538
tt0119991,tt0119991
tt0022905,tt0022905
tt0062639,tt0062639
tt0219728,tt0053888
tt0167132,tt0167132
tt0204729,tt0204729
tt0100505,tt0100505
tt0421239,tt0421239
tt0091125,tt0091125
tt0067480,tt0067480
tt0082042,tt0082042
tt0465552,tt0465552
tt0372907,tt0372907
tt0204839,tt0204839
tt0044166,tt0044166
tt0219854,tt0219854
tt0359024,tt0359024
tt0032206,tt0032206
tt0843858,tt0843858
tt0265118,tt0265118
tt0108171,tt0108171
tt0107165,tt0107165
tt0451035,tt0451035
tt0096769,tt0096769
tt0095305,tt0095305
tt0063459,tt0063459
tt0112898,tt0112898
tt0120787,tt0120787
tt0066681,tt0066681
tt0084732,tt0084732
tt0067610,tt0067610
tt0037671,tt0037671
tt0313550,tt0313550
tt0117445,tt0117445
tt0012190,tt0012190
tt0069134,tt0069134
tt0350002,tt0350002
tt0140749,tt0140749
tt0076683,tt0076683
tt0118214,tt0118214
tt0456554,tt0456554
tt0843302,tt0843302
tt0090523,tt0090523
tt0021282,tt0021282
tt0039294,tt0039294
tt0200530,tt0200530
tt0299278,tt0299278
tt0235326,tt0235326
tt0837806,tt0837806
tt0148364,tt0148364
tt0087691,tt0086756
tt0218088,tt0218088
tt0260653,tt0260653
tt0019098,tt0019098
tt0120611,tt0120611
tt0097334,tt0097334
tt0125211,tt0125211
tt0025671,tt0025671
tt0308332,tt0308332
tt0373274,tt0373274
tt0426573,tt0426573
tt0366177,tt0366177
tt0077921,tt0077921
tt0945314,tt0945314
tt0102603,tt0102603
tt0846425,tt0846425
tt0494291,tt0494291
tt0300195,tt0300195
tt0102439,tt0102439
tt0127388,tt0127388
tt0045328,tt0042513
tt0107151,tt0107151
tt0116240,tt0116240
tt0329814,tt0329814
tt0064369,tt0064369
tt0380070,tt0380070
tt0443455,tt0443455
tt0806088,tt0806088
tt0097718,tt0097718
tt0099936,tt0099936
tt0077008,tt0077008
tt0343095,tt0343095
tt0450278,tt0450278
tt0366285,tt0366285
tt0072891,tt0072891
tt0205200,tt0156610
tt0161385,tt0092865
tt0867294,tt0867294
tt0301163,tt0301163
tt0080079,tt0080079
tt0138458,tt0138458
tt0142406,tt0006864
tt0098219,tt0098219
tt0120370,tt0120370
tt0187078,tt0187078
tt0118509,tt0118509
tt0026273,tt0026273
tt0411644,tt0411644
tt0202152,tt0202152
tt0119142,tt0119142
tt0032553,tt0032553
tt0459648,tt0459648
tt0365485,tt0365485
tt0119336,tt0119336
tt0293275,tt0267693
tt0089299,tt0089299
tt0144048,tt0144048
tt0062562,tt0062562
tt0444593,tt0444593
tt0080768,tt0080768
tt0004936,tt0004936
tt0021778,tt0021778
tt0229219,tt0154152
tt0076478,tt0076478
tt0070790,tt0070790
tt0818672,tt0818672
tt0130350,tt0130350
tt0106784,tt0106784
tt0443579,tt0443579
tt0030078,tt0030078
tt0043959,tt0043959
tt0187623,tt0187623
tt0034384,tt0034384
tt0091544,tt0091544
tt0043964,tt0043964
tt0380687,tt0380687
tt0229221,tt0115953
tt0033676,tt0033676
tt0095333,tt0095333
tt0499375,tt0499375
tt0035884,tt0035884
tt0073076,tt0073076
tt0064597,tt0064597
tt0127917,tt0127917
tt0103778,tt0103778
tt0235015,tt0235015
tt0893397,tt0893397
tt0309395,tt0309395
tt0114798,tt0114798
tt0259932,tt0259932
tt0358706,tt0358706
tt0354502,tt0354502
tt0374688,tt0374688
tt0284491,tt0284491
tt0085515,tt0085515
tt0386862,tt0386862
tt0091214,tt0091214
tt0153464,tt0153464
tt0963794,tt0963794
tt0245238,tt0245238
tt0064512,tt0064512
tt0051267,tt0051267
tt0098188,tt0098188
tt0751109,tt0751109
tt0105483,tt0105483
tt0084887,tt0084887
tt0027687,tt0027687
tt0069013,tt0069013
tt0420087,tt0420087
tt0068245,tt0068245
tt0065314,tt0065314
tt0134154,tt0134154
tt0027067,tt0027067
tt0236640,tt0236640
tt0148303,tt0148303
tt0361217,tt0361217
tt0189736,tt0189736
tt0109348,tt0109348
tt0076085,tt0076085
tt0063665,tt0063665
tt0023669,tt0023669
tt0016630,tt0016630
tt0256349,tt0123195
tt0214907,tt0169302
tt0075494,tt0075494
tt0105420,tt0105420
tt0407856,tt0407856
